# 1 周 ＝ commit 1 つ。周を終えたら 1 行足す。scripts/laps.mjs が読む。
# 種別  sample（新しい見本を足した） / brush（手入れだけ） / block（人待ちで止まった）
# 収穫  check（検査を足した） / rule（決まりを足した） / tool（道具を足した） / word（言葉の誤りを直した） / craft（作図の作法） / none
# 分野  sample のときだけ。scripts/gallery-categories.mjs の label
周	日付	種別	見本	分野	収穫	一行
71	2026-09-21	brush			tool	時間で区切って回す運用と、周の台帳を作った
72	2026-09-21	brush			rule	描かないものの線引き（題材ではなく「構造か手順か」）を方針へ書いた
73	2026-09-21	brush			rule	決まりの数字を 9 本ぜんぶ洗った（3 本が古く、結論はどれも生きていた）
74	2026-09-21	brush			rule	決まり 8 を 38 枚で測り直した（down がラベルを救うのは 2 → 9 枚）
75	2026-09-21	sample	343-ミキサーの信号の道	楽器・音響	none	薄い分野へ 1 枚。順番と、枝を取り出す場所が意味を決める
76	2026-09-21	brush			tool	周の台帳が壊れても気づけるように、形の検査を足した
77	2026-09-21	brush			word	古い見本 3 枚を当たり、見本 198 の円周が 3.55（正しくは 3.54）だった
78	2026-09-21	brush			none	図の中の式を機械で検算できないか測った（42 件すべて誤検出。捨てた）
79	2026-09-21	brush			word	見本 227 の辺の比が 1 : 2 : √3 になっていた（正しくは 1 : √3 : 2）
80	2026-09-22	brush			word	見本 308 の B0 面積が 1.4998m²（正しくは 1.4997）で、1.5 倍も実際は 1.4998 倍
81	2026-09-22	brush			check	規格番号の版の有無が混ざっていた 3 枚を揃え、検査で固定した
82	2026-09-22	brush			check	版の無い引用 5 枚に断りを書き、「年がどこかにあればよい」を締めた
83	2026-09-22	sample	344-接地工事の4種類	設備・電気	none	薄い分野へ 1 枚。A・C・D は数、B だけ式で決まる
84	2026-09-22	brush			check	同じ題材の見本 5 組が互いを知らなかった。参照を入れ、検査で固定した
85	2026-09-22	block			none	名前が同じ見本 2 組の扱い（URL が変わるので人へ渡した）
86	2026-09-22	brush			check	SEO を測って 3 つ直した（説明・パンくず・og:image:alt）＋ 名前の重複を止める検査
87	2026-09-22	block			none	og:image を作るか／site/gallery の古い 102 枚を外すか（人へ渡した）
88	2026-09-22	brush			check	見本ページ 688 枚を検査が 1 枚も見ていなかった。説明を厚くして固定した
89	2026-09-22	brush			tool	見本ごとの共有カード 344 枚。Chrome が控え場付きだと終了しないのを掴んだ
90	2026-09-22	brush			none	site/gallery の写しを pnpm pages に一本化。手元の下見が 15%→100%
91	2026-09-22	brush			check	指しているのに無い絵を止める検査（ベースルール §23 を機械で持つ）
92	2026-09-22	brush			rule	名前の付け方を決めて（§5.6）、同名の見本 2 組を改名した。逃がし表が空になった
93	2026-09-24	brush			tool	品質 100 周を始めた（1 周の定義・台帳・pnpm shot・合否の語を止める検査）
94	2026-09-24	brush			rule	画面に掴めることの印。重なり順は足さない（D41。人の判断）
95	2026-09-24	brush			check	隣り合う箱の矢印が向きを持っていなかった（18 本／8 枚）。道具で直し、検査で固定
96	2026-09-24	brush			tool	作図の跡が送り幅に入っていた（inkBounds）。見本 128 で跡を出せるようになった
97	2026-09-25	sample	345-日本史の時代区分	学び・図学	none	年表でしかできないこと（重なり・並立・境目の幅）を入れた
98	2026-09-25	sample	346-尺とフィート	学び・図学	none	実寸で並べて「ほぼ同じだが違う」を出した。差 2px は塗れないので拡大図
