#! md-business:test-spec-tsv/v1
# タイトル: zumen デスクトップアプリ 検証シート
# 文書番号: TEST-zumen-001
# 対象: zumen
# 版: 0.1.0
# ステータス: 未実施
#
# **pnpm gui:check と役割が違う。** あちらは 8 つの操作が動くかを AI が無人で見る（39 件）。
# ここは **人が見てどうだったか** を残す。だから、機械で判定できない項目をわざと入れてある。
#
# 期待結果に「X」と表示される と書いた行は、AI が画面の文字を見て PASS まで出せる。
# それ以外の行は git-qa が**人へ回す**（hold）。人が画面を見て置くまで、判定は付かない。
# **AI は VERIFIED を置かない。**
No.:number!	項目!	手順:multiline!	期待結果!
1	窓が出る	アプリを起動する	「zumen」と表示される
2	空の画面から先へ進める	アプリを起動する	「図を開いてください。ここへ落としても開きます。」と表示される
3	図が開ける	アプリを起動する\n「同梱の例を開く」をクリックする	「本番構成.zumen.yaml」と表示される
4	開いた直後、図ぜんぶが画面に入っている	アプリを起動する\n「同梱の例を開く」をクリックする	図が切れておらず、全体が一目で見える。引き伸ばされてもいない
5	文字が読める	アプリを起動する\n「同梱の例を開く」をクリックする	要素の名前どうしが重なっておらず、枠から出ていない
6	全体へ戻せる	アプリを起動する\n「同梱の例を開く」をクリックする\n「全体」をクリックする	図が動いて、全体が見える大きさに戻る
7	自力率が出る	アプリを起動する\n「同梱の例を開く」をクリックする	「いま何割まで自動か」と表示される
8	競合の欄がある	アプリを起動する\n「同梱の例を開く」をクリックする	「食い違いはありません。」と表示される
9	見たという印を押せる	アプリを起動する\n「同梱の例を開く」をクリックする\n「見た」をクリックする	「見ました」と表示される
10	提案を読む口がある	アプリを起動する\n「同梱の例を開く」をクリックする	「提案を読む」と表示される
11	保存の口がある	アプリを起動する\n「同梱の例を開く」をクリックする	「保存」と表示される
12	人が動かしたことが分かる	アプリを起動する\n「同梱の例を開く」をクリックする\n要素を 1 つドラッグして動かす	動かした要素に人の指定の印が付き、「未保存」と表示される
