# 品質の反復 100 周。1 周 ＝ 出す → 見た人が違和感を 1 つ挙げる → 直す → この 1 行。定義は 品質100周.md。
# 見た人  人（オーナー）/ AI（Claude）。**数えられるのは「人」の行だけ。**
# 周	日付	見本	見た人	違和感	直した	どうしたか
1	2026-09-24	-	AI	100 周の「1 周」が決まっていない。決めないと 100 周が何をした 100 回か分からなくなる	直した	品質100周.md に定義を書いた（出す→見た人が違和感を 1 つ→直す→1 行）。見た人の列で人の周を数える
2	2026-09-24	310	AI	左の列が右より丈が短く、紙の下 1/4 が空いて見える	直さない	丈を測ると ①380 ②155 ③270 ④256 ⑤250。読む順を保つ 2 列割りでは今の ①②/③④⑤ が最小差 241（③を左へ 299、⑤を左へ 259）
3	2026-09-24	344	AI	「大地」が接地極 4 つと同じ高さに並び、5 つ目の接地極に見える	直した	線の名前なので線の上へ（y 570→532）
4	2026-09-24	128	AI	題は「ロゴの作図」なのに、出るのは仕上がりだけで、作り方が図の中に 1 つも無い	保留	作図線を足すのは作り直しに近く、この見本の主旨（座標を書かない）に触れる。人に見てもらってから
5	2026-09-24	74	AI	下の Component 行は Footer を挙げているのに、Desktop にも Mobile にも Footer の箱が無い	直した	両方に Footer を足した。Mobile は Footer の上に Add to Cart（fixed）が載る並びにした
6	2026-09-24	212	AI	図の上に紙 1/5 ぶんの空白がある	直した	y 最小が 270（全 299 枚の中央値は 94）。131 点を 176px 上げた。上の余白が見本ごとに 40〜270 とばらつく件は sample-ideas へ
7	2026-09-24	60	AI	1-1〜1-15 は S 席なのに 1-21〜1-26 は A 席。同じ「1-」で始まるのに席種が違う	直した	頭の数字はスタンドの周（1 内周・2 外周）で席種ではない、と凡例の下に 1 行足した
8	2026-09-24	150	AI	右の 90'-0" の上を、ホーム〜1B の塁線が通っている	直した	線は y 510〜528 で x 471〜453 を通る。外へ 72px 逃がし、左も中心 x 397 の鏡へ揃えた
9	2026-09-24	150	AI	60'-6" to the rubber の頭を、ホーム〜2B の点線が縦に貫いている	直した	点線の右へ 24px。なお pnpm inspect は「文字の重なり 0」と言う（線と字の交差は 40px 未満だと見ない）
10	2026-09-24	-	人	四角しかクリック移動できない。矢印・背景の点線四角・テキストはどう編集するのか	保留	画面の編集口は place(id,x,y) の 1 つだけと確認。掴めないものに掴めない印が無い件は未決（人の判断待ち）
11	2026-09-24	-	人	パワポやスライドの矢印は箱の特定の箇所に吸着する。zumen はどうか	直さない	吸着点を持たず clip() が毎回算出する設計。吸着点を正本に残さないので再生成と喧嘩しない。3 本足の部品に足の名前が無い穴は記録した
12	2026-09-24	-	人	レイヤー構造を UI で見せないと「これを前に持ってきたい」が操作できない	直さない	オーナー判断「B でOK」。重なり順を変えたくなった実例が 344 枚に無い。困ってから足す（decisions.md へ）
13	2026-09-24	-	人	順番が無いのにこれができているのか。yml の記載順ではないのか	直した	見立てのほうが実装に近く、私の「順番が無い」が誤り。同じ種類の中は記載順で効いている。訂正して文書に残した
14	2026-09-24	-	人	掴めるものと掴めないものが、見て分からない	直した	ホバー中だけ四角の角に 4 点。枠 2px は「人が置いた」の意味なので使えず、塗りも vivid と混ざるため角の点にした
15	2026-09-24	-	AI	pnpm typecheck が落ちていた。第 91 周で足した検査の型が緩い	直した	pnpm test は型を見ないので通っていた。人が push するまで誰も気づかない状態だった
16	2026-09-24	90	AI	住所の行は箱の左端に揃えてあるのに、長女だけ 20px ずれている	直した	被相続人 60／妻 560／長男 60／孫 750 は一致。長女だけ 390 だったので 370 へ
